type,seed,constrained,non_constrained
cp,0,True,True
cp,1,True,True
cp,2,True,True
cp,3,True,True
cp,4,True,True
cp,5,True,True
cp,6,True,False
cp,7,True,False
cp,8,True,True
cp,9,True,True
ring,0,True,True
ring,1,True,True
ring,2,True,True
ring,3,True,True
ring,4,True,True
ring,5,True,True
ring,6,True,True
ring,7,True,True
ring,8,True,True
ring,9,True,True
train,0,True,True
train,1,True,True
train,2,True,True
train,3,True,True
train,4,True,True
train,5,True,True
train,6,True,True
train,7,True,True
train,8,True,True
train,9,True,True
